Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
630,1.1,35,1646,"Banana (S)",1625,2.6,1392,148,"30370"
575,1.1,40,1252,"Barcaldine (R)",867,2.4,1042,75,"30410"
649,1.2,43,1363,"Barcoo (S)",453,2.3,1019,70,"30450"
503,1.1,41,1170,"Blackall Tambo (R)",953,2.3,876,100,"30760"
705,1.1,36,1821,"Mackay (R)",2167,2.7,1578,310,"34770"
836,1.1,33,1410,"McKinlay (S)",975,2.4,1152,88,"34800"
494,1.0,42,1254,"Mandurah (C)",1950,2.4,984,270,"55110"
493,1.1,42,1122,"Manjimup (S)",1300,2.4,912,150,"55180"
920,1.2,34,1097,"Meekatharra (S)",442,2.5,1006,84,"55250"
694,1.0,40,2130,"Melville (C)",2167,2.6,1619,350,"55320"
397,1.1,42,952,"South Burnett (R)",1200,2.4,789,190,"36630"
599,1.1,36,1458,"Merredin (S)",1144,2.4,1099,130,"55460"
1207,1.1,38,2225,"Boddington (S)",2080,2.6,1814,220,"50630"
495,1.1,44,1178,"Boyup Brook (S)",1122,2.4,890,107,"50770"
467,1.1,46,1117,"Bridgetown-Greenbushes (S)",1500,2.4,883,180,"50840"
457,1.1,48,1012,"Tumby Bay (DC)",1200,2.2,787,150,"47910"
594,1.2,38,1372,"Carnarvon (S)",1517,2.5,1107,155,"51540"
690,1.1,37,1220,"Mullewa (S)",600,2.5,1005,92,"56020"
644,1.1,40,1779,"Mundaring (S)",1842,2.7,1531,300,"56090"
486,1.1,48,1010,"Quairading (S)",738,2.3,850,75,"57350"
747,1.1,39,1593,"Ravensthorpe (S)",1175,2.4,1361,220,"57420"
620,1.0,34,1656,"Rockingham (C)",2000,2.7,1410,300,"57490"
1555,1.2,32,2952,"Roebourne (S)",3000,2.9,2839,120,"57560"
576,1.1,33,1381,"Logan (C)",1800,2.9,1263,300,"34590"
668,1.1,34,1422,"Longreach (R)",1465,2.5,1158,142,"34710"
532,1.1,37,1423,"Narrogin (S)",1001,2.7,1309,100,"56450"
516,1.1,40,1184,"Sorell (M)",1257,2.4,949,230,"64810"
430,1.1,42,1036,"Southern Midlands (M)",1188,2.5,869,120,"65010"
374,1.1,51,784,"Tasman (M)",921,2.1,683,160,"65210"
422,1.1,43,1070,"Waratah/Wynyard (M)",1157,2.4,844,170,"65410"
430,1.1,46,936,"Northampton (S)",1500,2.3,768,180,"56790"
433,1.1,47,866,"Nungarin (S)",1350,2.3,818,50,"56860"
666,1.1,35,1763,"Serpentine-Jarrahdale (S)",2167,3.0,1638,309,"57700"
567,1.1,45,1312,"Shark Bay (S)",737,2.1,946,120,"57770"
780,1.1,36,2259,"South Perth (C)",2200,2.3,1606,340,"57840"
689,1.1,36,1783,"Stirling (C)",2000,2.4,1353,310,"57910"
830,1.1,35,2565,"Subiaco (C)",2214,2.1,1599,351,"57980"
653,1.1,34,1648,"Swan (C)",1950,2.8,1441,315,"58050"
434,1.1,41,972,"Tammin (S)",272,2.5,957,50,"58190"
544,1.1,40,1125,"Three Springs (S)",532,2.3,1005,84,"58260"
279,1.9,24,727,"Roper Gulf (S)",823,4.3,1126,50,"73600"
696,1.1,34,1844,"Victoria Park (T)",2167,2.2,1360,310,"58510"
460,1.1,45,1127,"Wagin (S)",927,2.3,826,110,"58610"
738,1.2,44,1559,"Wandering (S)",1647,2.6,1298,223,"58680"
656,1.1,32,1691,"Wanneroo (C)",2104,2.9,1514,350,"58760"
498,1.1,42,1422,"Waroona (S)",1517,2.5,1107,200,"58820"
500,1.1,44,962,"West Arthur (S)",712,2.4,887,60,"58890"
1004,1.2,33,2513,"Unincorporated NT",1300,2.6,1998,11,"79399"
369,1.2,33,782,"Brewarrina (A)",585,2.6,791,74,"11200"
534,1.1,43,1254,"Cooma-Monaro (A)",1300,2.3,943,180,"12050"
1667,1.5,34,885,"Wiluna (S)",190,3.6,1278,25,"59250"
566,1.1,39,963,"Woodanilling (S)",534,2.5,909,92,"59320"
430,1.1,45,893,"Wyalkatchem (S)",585,2.1,775,125,"59330"
794,1.3,31,1718,"Wyndham-East Kimberley (S)",2167,2.7,1547,120,"59340"
1504,1.2,33,1375,"Yalgoo (S)",0,3.2,1231,0,"59350"
414,1.1,43,994,"Broken Hill (C)",953,2.2,786,150,"11250"
289,1.9,28,766,"Belyuen (S)",0,4.3,1125,80,"70540"
460,1.1,41,1010,"Forbes (A)",1127,2.4,832,150,"12900"
418,1.1,44,932,"Gilgandra (A)",953,2.4,771,125,"12950"
395,1.1,46,915,"Glen Innes Severn (A)",1083,2.3,734,155,"13010"
422,1.1,50,971,"Gloucester (A)",1517,2.3,810,165,"13050"
558,1.1,37,1360,"Albury (C)",1452,2.4,1025,195,"10050"
494,1.1,35,1292,"Armidale Dumaresq (A)",1441,2.4,991,200,"10110"
472,1.1,41,1015,"Conargo (A)",1018,2.7,951,0,"11860"
452,1.1,43,1037,"Coolamon (A)",1192,2.6,857,125,"12000"
534,1.1,42,1395,"Gosford (C)",1950,2.5,1089,280,"13100"
516,1.1,41,1281,"Goulburn Mulwaree (A)",1517,2.4,981,185,"13310"
395,1.1,52,881,"Great Lakes (A)",1395,2.2,729,220,"13320"
479,1.1,43,1181,"Greater Hume Shire (A)",1200,2.5,943,150,"13340"
395,1.1,46,930,"Greater Taree (C)",1300,2.4,770,200,"13380"
531,1.1,36,1288,"Griffith (C)",1517,2.7,1065,180,"13450"
628,1.2,37,1689,"Ashfield (A)",2167,2.5,1413,365,"10150"
420,1.3,31,1161,"Auburn (C)",2000,3.1,1160,350,"10200"
496,1.1,45,1153,"Ballina (A)",1733,2.4,930,290,"10250"
470,1.1,41,1126,"Balranald (A)",867,2.4,894,138,"10300"
428,1.2,35,1228,"Bankstown (C)",2002,3.0,1091,310,"10350"
544,1.1,36,1437,"Bathurst Regional (A)",1625,2.5,1142,220,"10470"
454,1.1,48,1014,"Bega Valley (A)",1300,2.3,848,200,"10550"
416,1.1,46,938,"Bellingen (A)",1300,2.4,787,225,"10600"
428,1.1,48,958,"Berrigan (A)",1170,2.2,776,145,"10650"
565,1.1,32,1492,"Blacktown (C)",2100,3.1,1388,300,"10750"
459,1.1,41,1072,"Bland (A)",1070,2.4,879,130,"10800"
533,1.1,40,1376,"Blayney (A)",1430,2.5,1092,165,"10850"
590,1.1,42,1624,"Blue Mountains (C)",1842,2.5,1270,280,"10900"
478,1.1,39,1182,"Bogan (A)",1083,2.5,902,140,"10950"
462,1.1,46,1010,"Bombala (A)",962,2.2,805,130,"11000"
452,1.1,45,1081,"Boorowa (A)",1000,2.3,778,125,"11050"
575,1.2,37,1488,"Botany Bay (C)",2500,2.6,1245,330,"11100"
600,1.1,35,1238,"Bourke (A)",878,2.6,1085,83,"11150"
