sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
210152491,Golden Plains (S) - North-West,13,2.5,2.1,5.4,46.4
210152492,Golden Plains (S) - South-East,null,null,null,null,53.1
210152758,Greater Geelong (C) - Pt C,null,null,null,null,null
215016730,Warrnambool (C),null,null,null,null,56.8
215051831,Corangamite (S) - North,null,null,null,null,60.4
215051832,Corangamite (S) - South,null,null,null,null,71.8
215055491,Moyne (S) - North-East,null,null,null,null,97.9
215055493,Moyne (S) - North-West,null,null,null,null,99.6
215055496,Moyne (S) - South,null,null,null,null,56.1
255053818,Latrobe (C) Bal,null,null,null,null,null
255100834,Baw Baw (S) - Pt B East,null,null,null,null,95.2
255100835,Baw Baw (S) - Pt B West,21.1,3.6,6.5,12,30.2
255107458,Yarra Ranges (S) - Pt B,null,null,null,null,null
255200741,Bass Coast (S) - Phillip Is.,null,null,null,null,65.8
255200744,Bass Coast (S) Bal,15.7,3.1,2.4,6.4,48.1
255206171,South Gippsland (S) - Central,null,null,null,null,59.9
255206174,South Gippsland (S) - East,null,0,null,0,null
255206175,South Gippsland (S) - West,null,null,null,null,54.6
215102411,Glenelg (S) - Heywood,null,null,null,null,100.5
215102412,Glenelg (S) - North,null,0,null,0,null
215102413,Glenelg (S) - Portland,null,null,null,null,100.5
220050571,Ballarat (C) - Central,5.6,1,1.5,2.9,33.8
220050572,Ballarat (C) - Inner North,10.3,1.8,2.7,5.3,34.6
220050573,Ballarat (C) - North,null,null,null,null,null
220050574,Ballarat (C) - South,12.1,2,4,7,28.3
220102911,Hepburn (S) - East,21.9,4.3,4,9.7,44.1
220102912,Hepburn (S) - West,16.5,3.2,2.4,6.5,49.8
220105151,Moorabool (S) - Bacchus Marsh,32,4.6,14.1,21.7,21.1
220105154,Moorabool (S) - Ballan,44.2,8.7,10.7,23.5,36.9
220105155,Moorabool (S) - West,null,0,null,0,null
220150260,Ararat (RC),null,null,null,null,52.1
220155991,Pyrenees (S) - North,null,null,null,null,68.8
220155994,Pyrenees (S) - South,null,null,null,null,79
225053191,Horsham (RC) - Central,null,null,null,null,72
225053194,Horsham (RC) Bal,null,null,null,null,100.3
225055811,N. Grampians (S) - St Arnaud,20.1,3.9,3.5,8.8,44.8
225055814,N. Grampians (S) - Stawell,null,null,null,null,100.3
225056890,West Wimmera (S),null,null,null,null,70.9
230156611,Swan Hill (RC) - Central,null,null,null,null,72.1
230156614,Swan Hill (RC) - Robinvale,null,0,null,0,null
230156616,Swan Hill (RC) Bal,null,null,null,null,51.2
235052621,Gr. Bendigo (C) - Central,null,null,null,null,100.3
235052622,Gr. Bendigo (C) - Eaglehawk,null,0,null,0,null
235052623,Gr. Bendigo (C) - Inner East,null,null,null,null,99.2
235052624,Gr. Bendigo (C) - Inner North,null,0,null,0,null
235052625,Gr. Bendigo (C) - Inner West,null,0,null,0,null
235052626,Gr. Bendigo (C) - S'saye,null,0,null,0,null
235101671,C. Goldfields (S) - M'borough,null,null,null,null,54.7
235101674,C. Goldfields (S) Bal,null,null,null,null,56.2
235102628,Gr. Bendigo (C) - Pt B,null,null,null,null,70.3
235103943,Loddon (S) - North,null,null,null,null,100.6
235103945,Loddon (S) - South,null,null,null,null,71.6
250052111,E. Gippsland (S) - Bairnsdale,null,null,null,null,77
250052113,E. Gippsland (S) - Orbost,null,null,null,null,59
250052115,E. Gippsland (S) - South-West,null,null,null,null,102.4
250052117,E. Gippsland (S) Bal,null,null,null,null,null
250156811,Wellington (S) - Alberton,null,null,null,null,68.9
250156812,Wellington (S) - Avon,null,0,null,0,null
250156813,Wellington (S) - Maffra,null,null,null,null,99.6
250156814,Wellington (S) - Rosedale,null,null,null,null,99.4
250156815,Wellington (S) - Sale,null,null,null,null,74.1
255050831,Baw Baw (S) - Pt A,null,0,null,0,null
255053811,Latrobe (C) - Moe,null,0,null,0,null
255053814,Latrobe (C) - Morwell,null,0,null,0,null
255053815,Latrobe (C) - Traralgon,null,null,null,null,51.1
