 area_code, diabetes_me_1_no_3_11_7_13
207021158,1083.939858
207021159,656.035513842502
207031161,676.880129470668
207011154,183.814367963249
207031162,361.455764829332
207031163,530.695077497278
207031167,265.2755581
207031165,418.537796124612
207031164,501.853617902722
207031166,393.220039675388
208011168,390.504452931327
212041313,340.8426301
208011169,667.166890097783
303021056,284.941252509258
208011172,522.6854737
208021174,787.475695607965
214011372,735.6615426
208021175,977.566438392035
208031184,0.334839047691258
208011173,463.925618968673
215011392,304.532135817047
215011393,111.089871269063
215011394,270.902017792845
208021176,471.137100888291
208021179,292.772953
208021182,357.623670911709
215031400,256.237385656432
208021177,592.130711765751
208021178,492.244220934249
215021395,206.447081619595
215021396,173.0902274
215021397,1139.1511008
215021398,121.311964280405
215021399,188.1949512
208031185,354.2897507
208031186,392.28200430984
215031403,154.4421337
208031188,688.780944755495
208031190,394.598933585188
215031404,347.787025410272
215031405,218.375573289728
208031189,336.987598247277
216011406,458.023228026573
216011407,407.222148133226
216011408,120.258935073427
208031191,272.299306959317
208031192,0
209011196,334.23890560573
209011197,559.157641393647
208031193,522.376817652337
209031210,92.8750011991677
209031211,116.9848831
209031212,132.882694023425
209031213,229.120762642168
209031214,174.795515077408
208041194,529.22816430539
303021057,216.582942090742
208041195,550.20425599461
209011198,430.285169927106
209041217,390.9048892
209011199,532.5711857
209011200,320.0812562
209041218,1080.2257682
209011201,241.84567
209011202,432.071332806353
209011203,572.354498472894
209041225,256.523593489405
209011204,315.55299789427
209021205,262.6324991
210011226,457.100652713095
405041124,310.371231400988
209021206,1572.4254341
209021207,1479.8309626
209021208,1516.0640673
209031209,563.3849952
209031215,344.205769857832
210011227,0
405041125,259.377299299012
209041216,227.4831562
210011230,208.8960131
405041127,473.317364994357
405041128,266.946158605643
406011129,null
406011130,null
406011131,210.0617375
406011132,null
406011133,709.4656351
406011134,null
209041219,1863.9371257057
407011145,294.9925742
209041220,793.9557131
407011149,360.840894128034
407021150,241.4870029
407021151,168.320695254876
209041221,554.7397908
209041222,926.9499602
504011046,498.622545603072
209041223,1906.8002699943
209041224,416.145961710595
210011228,484.543486
210011229,1592.6916102869
210011231,280.7343909
210021232,300.761582339979
504021053,517.074332171713
210021233,86.4244936885576
210021234,101.873924071463
210021235,240.4784087
210031236,360.593979
210031237,967.4084937
210031238,1551.417104
210031239,970.9481212
210041240,332.355481525155
210041241,636.859063474845
701011001,17.2808808235268
210051242,879.3867303
210051247,1098.0485622
210051243,1580.0643729
210051244,1048.0219442
210051245,935.558624618378
210051246,564.539133754085
210051250,342.693664181622
211011251,337.585481404662
210051249,752.1423372
211011252,752.486117995338
211011253,850.0824098
211011254,397.5300389
211011255,202.718607116774
211011257,250.071197786799
211011256,471.514195331916
211011258,335.151113964511
211011259,542.01330976109
211011260,688.07776673891
211021261,473.234256944564
211021262,305.515321955436
701021010,100.397654057122
211031263,309.293487376935
211031264,884.1590846
211031266,503.1237656
211031267,512.156164223065
211041269,371.7374915
211041270,501.22149679948
211051275,258.972295674748
211051276,396.6688664
211041271,342.4180529
211041272,335.072593931167
